codProd;nombre del producto;tipoProdServ;codFamilia;CodUnidMed;costo;precio;stock-almacen
0000007        ;CABLIXCOM SOPORTE DE MONTAJE PARA ORGANIZADORES PCMDF2B     ;1;Accesorio;UND;67,51;0;23
065-7530       ;SIGNAMAX SWITCH 16-PORT 10/100BASET/TX WITH 1 EXP. SLOT     ;1;Switch;UND;1300,64;0;1
065-75SC       ;SIGNAMAX MODULO FIBRA 100BASEFX EXP. SWITCH -SC MULTIMODE   ;1;Modulo;UND;857,96;0;1
081-00-06      ;AMERICAN RACK MURAL DOBLE CUERPO 6U PROF=580MM NEGRO        ;1;Mural;UND;682,54;0;13
081-00-06IV    ;AMERICAN RACK MURAL DOBLE CUERPO 6U PROF=580MM BEIGE        ;1;Mural;UND;682;0;3
090-00-41      ;AMERICAN RACK RACK ABIERTO DE 41U BEIGE                     ;1;Rack;UND;530;0;2
10765          ;DICOMP MALLA PREFORMADA P/ FIBRA DE 6,4-7,40 MM. AZUL.      ;1;Malla;UND;5,63;0;129
10766          ;DICOMP MALLA PREFORMADA P/ FIBRA DE 9,60-12,20 MM. NARANJA. ;1;Malla;UND;27,65;0;5675
11777-12880    ;DICOMP BASE ESTIRADOR PARA DROP+ GANCHO LARGO               ;1;Accesorio;UND;1;0;3162
11803          ;DICOMP CRUCETA PARA RESERVA DE CABLES 550X3MM               ;1;Cruceta;UND;32,22;0;164
12012          ;DICOMP SOPORTE REFORZADO P/ BAP CON AGUJERO DE 14MM         ;1;Accesorio;UND;3,86;0;4601
12234          ;DICOMP ABRAZADERA P/ POSTE BAP-2 C/PARAFUSO, TUERCA-ARANDELA;1;Abrazadera;UND;10,03;0;3850
12235          ;DICOMP ABRAZADERA BAP-4 C/PARAFUSO, TUERCA Y ARANDELA 1MT   ;1;Abrazadera;UND;10,76;0;4799
12893          ;DICOMP TORNILLO CABEZA ABULADA M12X35 GALVANIZADO           ;1;Tornillo;UND;1,03;0;19329
13375          ;DICOMP SOPORTE UNIVERSAL DE PASAJE Y ANCLAJE SUPA           ;1;Accesorio;UND;10,76;0;675
15320          ;DICOMP SOPORTE DIELECTRICO CUADRADO/DADO P/ FIBRA DE 11-14MM;1;Accesorio;UND;10,9;0;2037
15465          ;DICOMP SOPORTE DIELECTRICO CONICO P/ CABLE OPTICO 8-10MM 11-;1;Accesorio;UND;10,76;0;934
232OPDRI       ;B&B INDUSTRIAL 232 ISOLATOR DIN RAIL MOUNT                  ;1;Accesorio;UND;1320,45;0;1
3N-SOPORTE     ;3N SOPORTE PARA BAP                                         ;1;Accesorio;UND;3,1;0;2076
3NBAP2         ;3N ABRAZADERA P/ POSTE BAP-2 C/PARAFUSO 1.5MM               ;1;Abrazadera;UND;9,66;0;422
3NBAP2-COMP    ;3N ABRAZADERA COMPACTA P/ POSTE BAP-2 C/PARAFUSO 1.2MM      ;1;Abrazadera;UND;7,32;0;4776
40834-W        ;LEVITON CONECTOR QUICKPORT HDMI, BLANCO                     ;1;Conector;UND;63,7;0;12
41080-1WP      ;LEVITON PLACA DE 1 PUERTO SIN IDENTIFICADOR, BLANCA         ;1;Placa;UND;6,19;0;39
41080-2WP      ;LEVITON PLACA ESTANDAR DE 2 PUERTOS SIN IDENTIFICADOR COLOR ;1;Placa;UND;6,26;0;186
41080-3WP      ;LEVITON PLACA ESTANDAR DE 3 PUERTOS SIN IDENTIFICADOR BLANCA;1;Placa;UND;6,14;0;42
41080-4WP      ;LEVITON PLACA ESTANDAR DE 4 PUERTOS SIN IDENTIFICADOR BLANCA;1;Placa;UND;6,14;0;43
41089-2WP      ;LEVITON CAJA DE SOBREPONER 2 PTO. VACIA BLANCA              ;1;Caja;UND;10,54;0;35
41108-RC5      ;LEVITON JACK HEMBRA CAT 5 ROJO                              ;1;Jack;UND;13,23;0;144
41108-RL5      ;LEVITON JACK HEMBRA CAT 5 AZUL                              ;1;Jack;UND;11,76;0;114
42777-1WA      ;LEVITON CAJA DE ENERGIA BLANCA                              ;1;Caja;UND;19,93;0;40
4403           ;ZOOM MODEM MODEL 4403                                       ;1;Modem;UND;174,35;0;10
45-163         ;GRANDWAY BUFFER TUBE STRIPPER                               ;1;Buffer;UND;186,77;0;5
4530           ;ZOOM ROUTER 4530 + MODEM 3G                                 ;1;Router;UND;918,09;0;7
47615-PTT      ;LEVITON PONCHADOR                                           ;1;Ponchador;UND;20,12;0;32
485USB9F-4W    ;B&B USB TO SERIAL 1PTO. RS-485, 4 WIRE WITH DB9F            ;1;Adaptador;UND;572,49;0;1
49562-TSK      ;LEVITON TESTER PROBADOR DE RED                              ;1;Tester;UND;924,55;0;4
4S089-2WP      ;LEVITON CAJA DE SOBREPONER 2 PTO. VACIA BLANCA (P/ CONECTOR ;1;Caja;UND;16,84;0;7
4WSD25OTB      ;B&B ELECTRONIC, ISOLATED INLINE 485 CONVERTER, 25 PIN VERSIO;1;Convertidor;UND;789,89;0;4
5352-00-00     ;ZOOM 5352 CABLE MODEM WITH WIFI 3.0                         ;1;Modem;UND;473,14;0;1
550604100      ;NINGBO MURAL DOBLE CUERPO 6U NEGRO 525*500*325              ;1;Mural;UND;364,01;0;48
